Tag,Excerpt,Wiki
brave,"Brave is an open source privacy-focused web browser based on Chrome. This tag should only be used when the problem is found or is repeatable in the desktop version of the browser. Android and iOS versions are off-topic on Super User.

When writing questions you should state the version of the browser you are using and, if relevant, tag the question with your operating system.","<p><a href=""//brave.com/"" rel=""nofollow noreferrer""><strong>Brave</strong></a> is a modern web-browser that was started by the creator of <a href=""/questions/tagged/javascript"" class=""post-tag"" title=""show questions tagged &#39;javascript&#39;"" rel=""tag"">javascript</a> and co-founder of Mozilla (<a href=""/questions/tagged/seamonkey"" class=""post-tag"" title=""show questions tagged &#39;seamonkey&#39;"" rel=""tag"">seamonkey</a>, <a href=""/questions/tagged/mozilla-firefox"" class=""post-tag"" title=""show questions tagged &#39;mozilla-firefox&#39;"" rel=""tag"">mozilla-firefox</a>, …).</p>

<p>Brave is currently based on the same rendering-engine as <a href=""/questions/tagged/google-chrome"" class=""post-tag"" title=""show questions tagged &#39;google-chrome&#39;"" rel=""tag"">google-chrome</a>, but is posed to improve page load time <a href=""/questions/tagged/performance"" class=""post-tag"" title=""show questions tagged &#39;performance&#39;"" rel=""tag"">performance</a>, <a href=""/questions/tagged/security"" class=""post-tag"" title=""show questions tagged &#39;security&#39;"" rel=""tag"">security</a> and <a href=""/questions/tagged/privacy"" class=""post-tag"" title=""show questions tagged &#39;privacy&#39;"" rel=""tag"">privacy</a> by getting rid of third-party advertisement channels that are often used not only to significantly slow down page load time and decrease <a href=""/questions/tagged/battery-life"" class=""post-tag"" title=""show questions tagged &#39;battery-life&#39;"" rel=""tag"">battery-life</a> through pervasive <a href=""/questions/tagged/tracking"" class=""post-tag"" title=""show questions tagged &#39;tracking&#39;"" rel=""tag"">tracking</a> mechanisms, but also to inadvertently distribute new types of <a href=""/questions/tagged/malware"" class=""post-tag"" title=""show questions tagged &#39;malware&#39;"" rel=""tag"">malware</a>.</p>
"
libx264,,
amd-ryzen,"A line of processors from AMD which use the Zen architecture. Ryzen represents a total redesign from AMD's previous processors with significant improvements in per-core performance, multiprocessing capability, and power efficiency.",
tshark,,
threadripper,,
timedrift,"for questions related to Time Drift, or Clock Drift (a phenomena where a clock does not run at exactly the same rate as a reference clock)","<p>Time drift, or clock drift, refers to several related phenomena where a clock does not run at exactly the same rate as a reference clock. That is, after some time the clock ""drifts apart"" or gradually de-synchronizes from the other clock.</p>

<h3>Reference</h3>

<p><a href=""https://en.wikipedia.org/wiki/Clock_drift"" rel=""nofollow noreferrer"">https://en.wikipedia.org/wiki/Clock_drift</a></p>
"
laverna,,
skype-for-windows-10,,
microsoft-word-97,Microsoft Word 97 (part of the Office 97 suite of productivity software),
amahi,,
gnutls,,
pinfo,"pinfo is user-friendly, console-based viewer for info documents and man pages.","<p>Old home of the project is on <a href=""http://pinfo.sourceforge.net/"" rel=""nofollow noreferrer"">SourceForge</a>, but it hasn't seen any updates for years.  New development is happening on <a href=""https://github.com/baszoetekouw/pinfo"" rel=""nofollow noreferrer"">GitHub</a>.</p>
"
notmuch,Notmuch allows indexing and searching of e-mail as a plug-in application for various mail user agents.,"<p>This is for questions about ""Notmuch -- Just an email system""</p>

<p>This software allows indexing and searching of e-mail as a plug-in application for various mail user agents.</p>

<h3>Homepage</h3>

<p><a href=""https://notmuchmail.org/"" rel=""nofollow noreferrer"">https://notmuchmail.org/</a></p>
"
zebra-printer,"For questions concerning Zebra Technologies thermal printers used for labels, tickets, ID cards, receipts, and other small format applications. ",
maildrop,,
uwp,,"<p><a href=""https://docs.microsoft.com/en-us/windows/uwp/get-started/universal-application-platform-guide"" rel=""nofollow noreferrer"">Universal Windows Platform </a> or UWP is a part of Windows 10 and Windows 10 Mobile. UWP apps do not run on earlier Windows versions.</p>
"
dashlane,Dashlane is a password manager app and secure digital wallet.,"<p>Dashlane is a password manager app and secure digital wallet. The app is available on Mac, PC, iOS and Android. The app's premium feature enables users to securely sync their data between an unlimited number of devices on all platforms.</p>
"
duplicati,Duplicati is a backup utility that can be used to store encrypted backups of files on cloud storage devices and remote file servers.,
yandex-browser,Yandex Browser is a freeware web browser developed by the Russian web search corporation Yandex that uses the Blink web browser engine and is based on the Chromium open source project.,
windows-10-v1709,For questions about the Windows 10 Fall Creators Update (Version 1709 - Build 16299). Use [windows-10] for questions not specific to a particular release of Windows 10.,"<p>For questions about the Windows 10 Fall Creators Update (Version 1709 - Build 16299.x). Use [windows-10] for questions not specific to a particular release of Windows 10.</p>

<p>This update <a href=""https://blogs.windows.com/windowsexperience/2017/10/17/get-windows-10-fall-creators-update/"" rel=""nofollow noreferrer"">was released on 17th October 2017</a> on Windows Update as free update for Windows 10 users.</p>

<p><a href=""https://i.stack.imgur.com/K44C5.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/K44C5.png"" alt=""enter image description here""></a></p>
"
windows-speech-recognition,"Windows Speech Recognition is a speech recognition component developed by Microsoft and introduced in the Windows Vista operating system that enables the use of voice commands to perform operations, such as the dictation of text, within applications and the operating system itself.",
recovery-partition,Recovery partition is a portion of a disk drive that is set aside by the manufacturer to hold an image of operating system as it was shipped from the factory. Do not confuse with [partition-recovery].,
macos-highsierra,"macOS High Sierra (version 10.13) is the fourteenth major release of macOS, Apple Inc.'s desktop operating system for Macintosh computer.","<p>macOS High Sierra (version 10.13) is the fourteenth major release of macOS, Apple Inc.'s desktop operating system for Macintosh computer. The name ""High Sierra"" refers to the High Sierra region in California. As with Snow Leopard, Mountain Lion and El Capitan, the name also alludes to its status as a refinement of its predecessor, focused on performance improvements and technical updates rather than user features. Among the apps with notable changes are Photos and Safari.</p>
"
filesystem-conversion,,
apfs,"Apple File System (APFS) is a proprietary file system for macOS, iOS, tvOS and watchOS, developed and deployed by Apple Inc. It aims to fix core problems of HFS+ (also called Mac OS Extended), APFS's predecessor on these operating systems. Apple File System is optimized for flash and solid-state drive storage, with a primary focus on encryption.","<p>Apple File System (APFS) is a proprietary file system for macOS, iOS, tvOS and watchOS, developed and deployed by Apple Inc.</p>
"
postgis,,
postman,,
lxd,,
firefox-57,"Firefox 57 is a major update of Mozilla Firefox, released in 2017, known for a new parsing engine and extensions system. It is also styled ""Firefox Quantum"" in marketing materials.",
sharpkeys,,
firefox-quantum,For questions specific to Firefox Quantum. Use [firefox] instead for questions involving Firefox in general.,
nixos,,
cryptomining,Use this tag when your question covers specific software or hardware issues that come forward when mining for cryptocurrency.,
terraform,"Terraform is a tool for building, changing, and combining infrastructure safely and efficiently.","<p>Terraform provides a common configuration to launch infrastructure — from physical and virtual servers to email and DNS providers. Once launched, Terraform safely and efficiently changes infrastructure as the configuration is evolved.</p>

<h3>Resources</h3>

<ul>
<li><a href=""https://www.terraform.io/docs/index.html"" rel=""nofollow noreferrer"">Documentation</a></li>
<li><a href=""https://github.com/hashicorp/terraform"" rel=""nofollow noreferrer"">Github repository</a></li>
</ul>
"
tidal,,
cisco-anyconnect,,
steam-link,,
windows-snap-assist,,
vfw,For questions related to Video For Windows and associated codecs. ,"<p>Questions relating to Video for Windows (VFW), including codecs such as ffdshow. Video for Windows is a multimedia framework from Microsoft which allows Windows to play and encode digital video.</p>
"
app-armor,,
caffe,,
qubes-os,,
mathml,,
vtiger-crm,,
dynamics-nav,"For questions about Microsoft Dynamics NAV  (formerly Navision), business management software for small and mid-sized businesses to help manage their financials, supply chain, and people.",
dynamics-ax,"For questions about Microsoft Dynamics 365 for Finance and Operations (formerly Dynamics AX),  enterprise resource planning (ERP) software for financial, human resources, and operations management.",
nvidia-gamestream,"For questions related to NVidia Gamestream, a proprietary technology developed for streaming to NVidia's shield series devices, and supported on various platforms through the ""Moonlight"" project.",
x11vnc,,
spectre,"This tag is for questions specific to the so-called ""spectre"" processor vulnerability and its mitigation.",
meltdown,Use for questions related to CPU hardware issue (common on Intel CPUs) which was discovered in mid 2017 and became public in January 2018 - CVE-20175754,"<p>Meltdown is a hardware issue affecting almost all CPUs from 2013 onwards (as of Jan 2018)  There is no fix for the problem, however there are OS workarounds which disable KPTI, which may have a performance impact depending on the type of load.</p>

<p>The core of the issue has to do with the way Intel CPUs make guesses about what instructions are going to be executed (branch prediction).  By carefully timing operations it is possible for a program to infer information about areas of RAM it should not have access to.</p>

<p>This can lead to passwords/pass phrases/keys being stolen.  It is primarily a problem in virtualised environments - unknown parties get access to a single VM may be able to infer information to get access to other VM's on the same host.</p>
"
yubikey,,
u2f,,
ansible-vault,,
apc-powerchute,"a proprietary UPS software package by APC, used to manage and control their UPS systems. Use this tag for questions about working with or configuring the software & related components.","<p>APC's PowerChute is a proprietary UPS software package, used to manage and control the UPS's they produce.</p>

<p>Features include unattended shutdown of servers/workstations, as well as monitoring and logging of the UPS status. </p>

<h3>Tag Usage</h3>

<p>Use this tag for questions about working with or configuring the software &amp; related components.</p>

<h3>Related Links</h3>

<ul>
<li><a href=""https://en.wikipedia.org/wiki/APC_by_Schneider_Electric#PowerChute"" rel=""nofollow noreferrer"">English Wikipedia</a></li>
</ul>
"
